Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
urubu,D,sort,O3,d/sortgdcO3,1000000-4.in,1000000,78.0
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100000-3.in,100000,29.0
urubu,D,sort,O1,d/sortgdcO1,100-1.in,100,0.0
urubu,CPP,STL,O3,cpp/stl_sortO3,100-3.in,100,0.0
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-5.in,10000000,4313.0
urubu,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10-2.in,10,0.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-2.in,10000000,4744.0
urubu,CPP,STL,O1,cpp/stl_sortO1,10-2.in,10,0.0
urubu,D,sort,O0,d/sortgdcO0,1000000-2.in,1000000,230.0
urubu,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-3.in,10000000,4347.0
urubu,CPP,STL,O3,cpp/stl_sortO3,100000-5.in,100000,7.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,100-3.in,100,0.0
urubu,D,sort,O3,d/sortgdcO3,1000-5.in,1000,0.0
urubu,D,sort,O2,d/sortgdcO2,10000000-4.in,10000000,915.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,10-2.in,10,0.0
urubu,CPP,STL,O3,cpp/stl_sortO3,1000-1.in,1000,0.0
urubu,CPP,STL,O3,cpp/stl_sortO3,10000000-4.in,10000000,862.0
urubu,CPP,STL,O2,cpp/stl_sortO2,10-3.in,10,0.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-2.in,1000000,412.0
urubu,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10-5.in,10,0.0
urubu,Python,quicksort,,python/quicksort.py,10000-5.in,10000,35.0
urubu,D,sort,O3,d/sortgdcO3,100-4.in,100,0.0
urubu,OCaml,merge_sort,,ocaml/merge_sort.native,1000-2.in,1000,0.0
urubu,D,sort,O1,d/sortgdcO1,1000-2.in,1000,0.0
urubu,CPP,STL,O2,cpp/stl_sortO2,10000-5.in,10000,1.0
urubu,D,sort,O0,d/sortgdcO0,10000000-1.in,10000000,2655.0
