Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
XPSR,D,sort,O0,d/sortgdcO0,10-1.in,10,0.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,10-3.in,10,0.0
XPSR,Python,quicksort,,python/quicksort.py,10000000-1.in,10000000,50775.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10000-1.in,10000,4.0
XPSR,CPP,STL,O1,cpp/stl_sortO1,10-5.in,10,0.0
XPSR,CPP,STL,O1,cpp/stl_sortO1,10000-5.in,10000,1.0
XPSR,D,sort,O0,d/sortgdcO0,100-4.in,100,0.0
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100000-1.in,100000,28.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,1000000-3.in,1000000,455.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10000000-2.in,10000000,6536.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,1000000-5.in,1000000,68.0
XPSR,Python,quicksort,,python/quicksort.py,10000-2.in,10000,24.0
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,1000000-5.in,1000000,455.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,10-5.in,10,0.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,1000-4.in,1000,0.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100-3.in,100,0.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000-2.in,10000,1.0
XPSR,D,sort,O2,d/sortgdcO2,10000-2.in,10000,0.0
XPSR,D,sort,O3,d/sortgdcO3,100-3.in,100,0.0
XPSR,CPP,STL,O2,cpp/stl_sortO2,10000-1.in,10000,1.0
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000000-2.in,10000000,1084.0
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10000000-4.in,10000000,3752.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000000-2.in,10000000,856.0
XPSR,D,sort,O3,d/sortgdcO3,10-3.in,10,0.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,10000000-1.in,10000000,4161.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100-4.in,100,0.0
XPSR,D,sort,O2,d/sortgdcO2,1000000-3.in,1000000,74.0
XPSR,D,sort,O3,d/sortgdcO3,10000-2.in,10000,0.0
XPSR,D,sort,O0,d/sortgdcO0,100000-5.in,100000,17.0
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000000-1.in,1000000,73.0
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-2.in,10,0.0
XPSR,CPP,STL,O0,cpp/stl_sortO0,100000-2.in,100000,31.0
