Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
hubert-pc,D,sort,O1,d/sortgdcO1,1000000-4.in,1000000,0.5318413040000678
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000-1.in,10000,0.006481512000050316
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10-2.in,10,0.0012114219999830311
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100-3.in,100,0.0016456149999157788
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,10000000-5.in,10000000,9.024629345999983
hubert-pc,D,sort,O0,d/sortgdcO0,1000000-3.in,1000000,0.7794308459999684
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,1000000-2.in,1000000,0.48836982199998147
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100000-3.in,100000,0.054067358999986936
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000-2.in,10000,0.006179743999950915
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,100000-3.in,100000,0.05209345699995538
hubert-pc,Python,sort,,python/sort.py,100000-2.in,100000,0.1372302969999737
hubert-pc,D,sort,O1,d/sortgdcO1,100000-1.in,100000,0.05682732100001431
hubert-pc,Python,quicksort,,python/quicksort.py,10-1.in,10,0.02175359800003207
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000-1.in,1000,0.0019389950000459066
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,100-5.in,100,0.0013444440000967006
hubert-pc,D,sort,O2,d/sortgdcO2,1000000-1.in,1000000,0.5175338750000265
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100-5.in,100,0.0019403760001068804
hubert-pc,D,sort,O1,d/sortgdcO1,10000-1.in,10000,0.006911971000022277
hubert-pc,D,sort,O1,d/sortgdcO1,10-2.in,10,0.0015624249999746098
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100000-1.in,100000,0.055191881000041576
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,100000-1.in,100000,0.07703715100001318
hubert-pc,D,sort,O0,d/sortgdcO0,100-4.in,100,0.0014946869999903356
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000000-2.in,10000000,5.152817306999964
hubert-pc,D,sort,O2,d/sortgdcO2,1000000-5.in,1000000,0.5772975060000363
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,100000-5.in,100000,0.08831794400009585
hubert-pc,Python,quicksort,,python/quicksort.py,1000000-5.in,1000000,5.844987954999965
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,1000000-5.in,1000000,0.4955884149999292
hubert-pc,D,sort,O3,d/sortgdcO3,100000-5.in,100000,0.05635913300000084
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,10000000-3.in,10000000,5.049327743000049
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100000-1.in,100000,0.05320249099997909
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,10000000-2.in,10000000,5.08128909200002
hubert-pc,D,sort,O3,d/sortgdcO3,10000000-5.in,10000000,5.342626941999924
hubert-pc,D,sort,O1,d/sortgdcO1,100-2.in,100,0.0019000309999910314
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000000-5.in,1000000,0.5021070459999919
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,10-5.in,10,0.0017224960000703504
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,1000-1.in,1000,0.0016243939999185386
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100-1.in,100,0.001266614999963167
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100000-4.in,100000,0.05432423599995673
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,1000-2.in,1000,0.002183086999934858
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000-3.in,10000,0.008274910000068303
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-1.in,10,0.0013679150000598383
hubert-pc,CPP,STL,O3,cpp/stl_sortO3,1000-2.in,1000,0.0017293009999548303
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10-2.in,10,0.0012576780000017607
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,10-4.in,10,0.0009956090000287077
hubert-pc,D,sort,O3,d/sortgdcO3,10000000-2.in,10000000,5.323660048999955
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,100000-3.in,100000,0.05244642999991811
hubert-pc,CPP,STL,O1,cpp/stl_sortO1,1000-5.in,1000,0.001869584000019131
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-1.in,1000000,0.7922911900000145
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000-1.in,10000,0.008147515000018757
hubert-pc,D,sort,O2,d/sortgdcO2,10-3.in,10,0.0017430159999776151
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,10-4.in,10,0.0013243739999779791
hubert-pc,D,sort,O3,d/sortgdcO3,100-4.in,100,0.0014205819999233427
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100-1.in,100,0.0012926939999715614
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,10-1.in,10,0.001175841999952354
hubert-pc,D,sort,O2,d/sortgdcO2,10000000-5.in,10000000,5.28147564599999
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100-1.in,100,0.0016610289999334782
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100000-3.in,100000,0.05278041799999755
hubert-pc,D,sort,O1,d/sortgdcO1,100000-4.in,100000,0.056720851000022776
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000000-3.in,1000000,0.5238170489999447
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,10000000-2.in,10000000,8.944128157999899
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,1000000-4.in,1000000,0.9944870230000333
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,100-5.in,100,0.001267962000042644
hubert-pc,D,sort,O1,d/sortgdcO1,100000-2.in,100000,0.056912110999974175
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100000-2.in,100000,0.07870434000005844
hubert-pc,D,sort,O0,d/sortgdcO0,1000-2.in,1000,0.0027410339999960343
hubert-pc,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000-1.in,1000,0.001963474999911341
hubert-pc,CPP,STL,O0,cpp/stl_sortO0,1000000-1.in,1000000,0.8295544730000302
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,100-3.in,100,0.0018113910000465694
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000000-2.in,1000000,0.8023623259999795
hubert-pc,Python,quicksort,,python/quicksort.py,10000000-3.in,10000000,73.31744190999996
hubert-pc,D,sort,O0,d/sortgdcO0,100000-1.in,100000,0.07543368199992528
hubert-pc,D,sort,O2,d/sortgdcO2,100-5.in,100,0.0018333409999513606
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000-4.in,10000,0.006122211000047173
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,1000000-1.in,1000000,0.9919397059999255
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000000-4.in,10000000,5.409938989000011
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,10000000-4.in,10000000,13.904197424000017
hubert-pc,D,sort,O2,d/sortgdcO2,10-2.in,10,0.0015312320000475665
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,10000000-4.in,10000000,5.020278021999957
hubert-pc,CPP,STL,O2,cpp/stl_sortO2,100000-5.in,100000,0.05225327100004051
hubert-pc,D,sort,O3,d/sortgdcO3,1000000-2.in,1000000,0.5234396070000003
hubert-pc,Python,sort,,python/sort.py,100-5.in,100,0.020765811000046597
hubert-pc,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10-3.in,10,0.0014645779999682418
hubert-pc,D,sort,O2,d/sortgdcO2,100-3.in,100,0.0014644540000290363
hubert-pc,OCaml,heap_sort,,ocaml/heap_sort.native,10000000-3.in,10000000,13.879030959000033
hubert-pc,OCaml,merge_sort,,ocaml/merge_sort.native,10-1.in,10,0.0011608199999955104
hubert-pc,Python,quicksort,,python/quicksort.py,1000-2.in,1000,0.02335178199996335
hubert-pc,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-5.in,10000000,8.572115480999969
hubert-pc,D,sort,O2,d/sortgdcO2,1000000-4.in,1000000,0.512961912000037
hubert-pc,Python,quicksort,,python/quicksort.py,100000-2.in,100000,0.5266016340000306
hubert-pc,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10-3.in,10,0.001795931000060591
