Machine,Language,Algorithm,Options,Executable_used,Input_name,Input_size,Execution_time
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10000-2.in,10000,0.00995936399999664
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000-2.in,10000,0.012492694999991727
XPSR,D,sort,O3,d/sortgdcO3,100-4.in,100,0.002193277999936072
XPSR,D,sort,O2,d/sortgdcO2,10-4.in,10,0.0027514530000871673
XPSR,D,sort,O2,d/sortgdcO2,10000-5.in,10000,0.01005497699998159
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000-2.in,1000,0.002469024999982139
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000000-5.in,10000000,6.4991985870000235
XPSR,CPP,STL,O2,cpp/stl_sortO2,100-1.in,100,0.002090927999915948
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,100000-1.in,100000,0.09594804699997894
XPSR,D,sort,O0,d/sortgdcO0,10000-1.in,10000,0.01281093200009309
XPSR,CPP,STL,O0,cpp/stl_sortO0,1000-5.in,1000,0.002576964000013504
XPSR,D,sort,O1,d/sortgdcO1,10000-2.in,10000,0.010669931000052202
XPSR,Python,quicksort,,python/quicksort.py,10-4.in,10,0.03502860700007204
XPSR,D,sort,O0,d/sortgdcO0,100000-4.in,100000,0.09972904100004598
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100-4.in,100,0.0019724109999970096
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,1000000-3.in,1000000,0.8544171469999355
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100000-3.in,100000,0.06576587600000039
XPSR,Python,quicksort,,python/quicksort.py,10-5.in,10,0.03111992099991312
XPSR,D,sort,O3,d/sortgdcO3,10-1.in,10,0.0018940490000431964
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,10000-5.in,10000,0.01204198000004908
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000000-3.in,10000000,6.492541102000018
XPSR,CPP,STL,O0,cpp/stl_sortO0,10000-3.in,10000,0.013210958000058781
XPSR,CPP,STL,O0,cpp/stl_sortO0,100-4.in,100,0.002117455000075097
XPSR,CPP,STL,O3,cpp/stl_sortO3,1000000-3.in,1000000,0.6326628859999346
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10000000-4.in,10000000,13.362098593000042
XPSR,D,sort,O2,d/sortgdcO2,1000000-5.in,1000000,0.6301111630000378
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,1000000-3.in,1000000,0.6386422020000282
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100-5.in,100,0.002189277000070433
XPSR,CPP,STL,O1,cpp/stl_sortO1,10-1.in,10,0.0015933670000549682
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000000-2.in,10000000,6.5531454709999934
XPSR,D,sort,O2,d/sortgdcO2,10000-1.in,10000,0.00939516099992943
XPSR,D,sort,O3,d/sortgdcO3,10000000-4.in,10000000,6.538239112999918
XPSR,Python,sort,,python/sort.py,100-2.in,100,0.030061569000054078
XPSR,D,sort,O0,d/sortgdcO0,10000000-5.in,10000000,10.664558689000046
XPSR,Python,sort,,python/sort.py,100000-1.in,100000,0.1577033159999246
XPSR,CPP,STL,O2,cpp/stl_sortO2,100000-3.in,100000,0.06776031200001853
XPSR,CPP,STL,O1,cpp/stl_sortO1,10000000-1.in,10000000,6.467274249999946
XPSR,CPP,STL,O0,cpp/stl_sortO0,10-3.in,10,0.0019355639999503182
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100-3.in,100,0.0015424380001149984
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,100-2.in,100,0.001113584999984596
XPSR,D,sort,O1,d/sortgdcO1,10000-4.in,10000,0.012262581000186401
XPSR,Python,quicksort,,python/quicksort.py,10000000-5.in,10000000,75.62235999599989
XPSR,D,sort,O0,d/sortgdcO0,10000-4.in,10000,0.011078444999839121
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100000-1.in,100000,0.0638277850000577
XPSR,CPP,STL,O1,cpp/stl_sortO1,1000-1.in,1000,0.002368484000044191
XPSR,D,sort,O1,d/sortgdcO1,1000000-1.in,1000000,0.683504585000037
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,100000-4.in,100000,0.09477657800016459
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,1000-4.in,1000,0.002825946000029944
XPSR,CPP,STL,O0,cpp/stl_sortO0,1000000-2.in,1000000,1.0536207929999364
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10-4.in,10,0.001980566999918665
XPSR,D,sort,O0,d/sortgdcO0,10-5.in,10,0.0014002179998442443
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100000-4.in,100000,0.06806627100013429
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000000-4.in,10000000,6.500870112999792
XPSR,CPP,STL,O1,cpp/stl_sortO1,10000000-3.in,10000000,6.46725755600005
XPSR,Python,quicksort,,python/quicksort.py,10000-5.in,10000,0.07047281299992392
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10-2.in,10,0.0012569320001603046
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,10000-5.in,10000,0.01189839799985748
XPSR,D,sort,O1,d/sortgdcO1,1000-3.in,1000,0.002202251999960936
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,10000-5.in,10000,0.008423571999855994
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100000-1.in,100000,0.09713794599997527
XPSR,D,sort,O1,d/sortgdcO1,10000-5.in,10000,0.008328864000077374
XPSR,CPP,STL,O0,cpp/stl_sortO0,100-5.in,100,0.0017715700000735524
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,10000000-5.in,10000000,11.06449855599999
XPSR,CPP,STL,O0,cpp/stl_sortO0,10000-2.in,10000,0.012879971000074875
XPSR,D,sort,O1,d/sortgdcO1,100000-1.in,100000,0.06918349800002943
XPSR,Python,sort,,python/sort.py,10-5.in,10,0.03565802299999632
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,100-4.in,100,0.001284072000089509
XPSR,Python,sort,,python/sort.py,10000-5.in,10000,0.040880854999841176
XPSR,Python,quicksort,,python/quicksort.py,1000000-1.in,1000000,6.329591884000138
XPSR,CPP,STL,O0,cpp/stl_sortO0,10-4.in,10,0.0019205509997846093
XPSR,CPP,STL,O3,cpp/stl_sortO3,10000-2.in,10000,0.007585578000089299
XPSR,Python,quicksort,,python/quicksort.py,10000-2.in,10000,0.07150135699998827
XPSR,D,sort,O1,d/sortgdcO1,10000-1.in,10000,0.008495503999938592
XPSR,Python,sort,,python/sort.py,1000000-3.in,1000000,1.6106906730001356
XPSR,CPP,STL,O3,cpp/stl_sortO3,100000-5.in,100000,0.06324349400006213
XPSR,D,sort,O1,d/sortgdcO1,1000000-4.in,1000000,0.6846085250001579
XPSR,D,sort,O2,d/sortgdcO2,10000000-1.in,10000000,6.497148275999962
XPSR,Python,sort,,python/sort.py,10000000-1.in,10000000,19.25017749599988
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,100-4.in,100,0.001971303999880547
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100-1.in,100,0.001538095000114481
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,1000000-4.in,1000000,0.6391310970000177
XPSR,D,sort,O2,d/sortgdcO2,10-5.in,10,0.001604540000016641
XPSR,Python,quicksort,,python/quicksort.py,10000-3.in,10000,0.07342337799991583
XPSR,CPP,STL,O2,cpp/stl_sortO2,100-5.in,100,0.002035314000067956
XPSR,D,sort,O1,d/sortgdcO1,1000-1.in,1000,0.002425153000103819
XPSR,D,sort,O3,d/sortgdcO3,1000-5.in,1000,0.002367136999964714
XPSR,CPP,STL,O0,cpp/stl_sortO0,10000-4.in,10000,0.014238981000062267
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,100000-3.in,100000,0.06811814000002414
XPSR,CPP,stupid_quicksort,O3,cpp/stupid_quicksortO3,100-2.in,100,0.0018043970001144771
XPSR,Python,sort,,python/sort.py,10000000-3.in,10000000,19.15114466099999
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,10000-4.in,10000,0.008129304000021875
XPSR,CPP,STL,O3,cpp/stl_sortO3,10000000-4.in,10000000,6.409716310000022
XPSR,D,sort,O3,d/sortgdcO3,10000-2.in,10000,0.007796343000109118
XPSR,CPP,stupid_quicksort,O1,cpp/stupid_quicksortO1,1000-5.in,1000,0.0023534110000582587
XPSR,CPP,stupid_quicksort,O0,cpp/stupid_quicksortO0,100000-3.in,100000,0.0965500960001009
XPSR,D,sort,O1,d/sortgdcO1,1000-4.in,1000,0.00225462499997775
XPSR,OCaml,heap_sort,,ocaml/heap_sort.native,1000000-2.in,1000000,1.091009098000086
XPSR,CPP,STL,O2,cpp/stl_sortO2,1000000-4.in,1000000,0.6433962700000393
XPSR,D,sort,O3,d/sortgdcO3,10-2.in,10,0.0016195819998756633
XPSR,OCaml,merge_sort,,ocaml/merge_sort.native,100-3.in,100,0.0011258639999596198
XPSR,D,sort,O3,d/sortgdcO3,100-5.in,100,0.0013665999999830092
XPSR,Python,sort,,python/sort.py,10-1.in,10,0.030825701000139816
XPSR,CPP,stupid_quicksort,O2,cpp/stupid_quicksortO2,10000-5.in,10000,0.008650542999930622
